event_id,event_start_et,event_end_et,event_duration_minutes,hour_start_et,segment_start_et,segment_end_et,event_minutes_in_hour,modal_peak_frequency_hz,modal_peak_minutes,mean_rms_counts,max_rms_counts,mean_4_8_power_share_percent
H4-001,"Apr 25, 2026 8:07 PM EDT","Apr 25, 2026 8:25 PM EDT",18,"Apr 25, 2026 8:00 PM EDT","Apr 25, 2026 8:07 PM EDT","Apr 25, 2026 8:25 PM EDT",18,11.75,5,3061.4593992400346,3393.8825255778497,37.293133157225796
H4-002,"Apr 25, 2026 8:30 PM EDT","Apr 25, 2026 9:24 PM EDT",54,"Apr 25, 2026 8:00 PM EDT","Apr 25, 2026 8:30 PM EDT","Apr 25, 2026 9:00 PM EDT",30,5.75,5,3057.1542478117876,3577.511792431847,37.94574724924596
H4-002,"Apr 25, 2026 8:30 PM EDT","Apr 25, 2026 9:24 PM EDT",54,"Apr 25, 2026 9:00 PM EDT","Apr 25, 2026 9:00 PM EDT","Apr 25, 2026 9:24 PM EDT",24,5.75,5,3073.1500781235027,3411.8312350870033,37.267465199118284
H4-003,"Apr 25, 2026 9:31 PM EDT","Apr 25, 2026 10:30 PM EDT",59,"Apr 25, 2026 9:00 PM EDT","Apr 25, 2026 9:31 PM EDT","Apr 25, 2026 10:00 PM EDT",29,10.95,4,3174.317631607462,3752.5175172252007,38.70820213684305
H4-003,"Apr 25, 2026 9:31 PM EDT","Apr 25, 2026 10:30 PM EDT",59,"Apr 25, 2026 10:00 PM EDT","Apr 25, 2026 10:00 PM EDT","Apr 25, 2026 10:30 PM EDT",30,5.75,3,3041.628375142298,3213.0877516390256,39.59989001601777
H4-004,"Apr 25, 2026 10:50 PM EDT","Apr 26, 2026 12:00 AM EDT",70,"Apr 25, 2026 10:00 PM EDT","Apr 25, 2026 10:50 PM EDT","Apr 25, 2026 11:00 PM EDT",10,5.45,2,2937.9792440732144,3017.930702396258,37.15689259316061
H4-004,"Apr 25, 2026 10:50 PM EDT","Apr 26, 2026 12:00 AM EDT",70,"Apr 25, 2026 11:00 PM EDT","Apr 25, 2026 11:00 PM EDT","Apr 26, 2026 12:00 AM EDT",60,5.75,7,2941.2333373460087,3244.321282137961,38.97897663379993
H4-005,"Apr 26, 2026 12:25 AM EDT","Apr 26, 2026 12:48 AM EDT",23,"Apr 26, 2026 12:00 AM EDT","Apr 26, 2026 12:25 AM EDT","Apr 26, 2026 12:48 AM EDT",23,10.85,4,2905.0235873006427,3092.963180816695,39.91264043106179
H4-006,"Apr 26, 2026 12:30 PM EDT","Apr 26, 2026 1:01 PM EDT",31,"Apr 26, 2026 12:00 PM EDT","Apr 26, 2026 12:30 PM EDT","Apr 26, 2026 1:00 PM EDT",30,5.65,5,3309.893390553075,3982.2803988525575,37.49379725885459
H4-006,"Apr 26, 2026 12:30 PM EDT","Apr 26, 2026 1:01 PM EDT",31,"Apr 26, 2026 1:00 PM EDT","Apr 26, 2026 1:00 PM EDT","Apr 26, 2026 1:01 PM EDT",1,7.45,1,3036.997918411293,3036.997918411293,40.54524673360536
H4-007,"Apr 26, 2026 1:02 PM EDT","Apr 26, 2026 1:57 PM EDT",55,"Apr 26, 2026 1:00 PM EDT","Apr 26, 2026 1:02 PM EDT","Apr 26, 2026 1:57 PM EDT",55,5.65,6,3058.754657255771,3717.9084325963536,38.67151054096358
H4-008,"Apr 26, 2026 1:58 PM EDT","Apr 26, 2026 2:18 PM EDT",20,"Apr 26, 2026 1:00 PM EDT","Apr 26, 2026 1:58 PM EDT","Apr 26, 2026 2:00 PM EDT",2,11.65,2,3054.4116801428836,3183.3223248609693,33.41977162868093
H4-008,"Apr 26, 2026 1:58 PM EDT","Apr 26, 2026 2:18 PM EDT",20,"Apr 26, 2026 2:00 PM EDT","Apr 26, 2026 2:00 PM EDT","Apr 26, 2026 2:18 PM EDT",18,10.95,4,3091.091439206765,3683.2704114682174,36.33830494370775
H4-009,"Apr 26, 2026 2:19 PM EDT","Apr 26, 2026 2:36 PM EDT",17,"Apr 26, 2026 2:00 PM EDT","Apr 26, 2026 2:19 PM EDT","Apr 26, 2026 2:36 PM EDT",17,0.55,2,3307.598230895816,4334.158469307735,34.65287346801059
H4-010,"Apr 26, 2026 2:45 PM EDT","Apr 26, 2026 4:15 PM EDT",90,"Apr 26, 2026 2:00 PM EDT","Apr 26, 2026 2:45 PM EDT","Apr 26, 2026 3:00 PM EDT",15,0.55,7,3691.125310939176,4041.691776699044,33.545934840619665
H4-010,"Apr 26, 2026 2:45 PM EDT","Apr 26, 2026 4:15 PM EDT",90,"Apr 26, 2026 3:00 PM EDT","Apr 26, 2026 3:00 PM EDT","Apr 26, 2026 4:00 PM EDT",60,5.55,5,3084.9371390617102,4378.909299985476,36.32599477071869
H4-010,"Apr 26, 2026 2:45 PM EDT","Apr 26, 2026 4:15 PM EDT",90,"Apr 26, 2026 4:00 PM EDT","Apr 26, 2026 4:00 PM EDT","Apr 26, 2026 4:15 PM EDT",15,8.15,3,3004.596831730988,3241.442444108172,36.588829625982115
H4-011,"Apr 26, 2026 4:18 PM EDT","Apr 26, 2026 6:08 PM EDT",110,"Apr 26, 2026 4:00 PM EDT","Apr 26, 2026 4:18 PM EDT","Apr 26, 2026 5:00 PM EDT",42,5.75,4,2906.9102458805,3152.0720476949696,37.23982518973052
H4-011,"Apr 26, 2026 4:18 PM EDT","Apr 26, 2026 6:08 PM EDT",110,"Apr 26, 2026 5:00 PM EDT","Apr 26, 2026 5:00 PM EDT","Apr 26, 2026 6:00 PM EDT",60,10.95,6,2891.362472589954,3277.9683949742357,36.41121655013733
H4-011,"Apr 26, 2026 4:18 PM EDT","Apr 26, 2026 6:08 PM EDT",110,"Apr 26, 2026 6:00 PM EDT","Apr 26, 2026 6:00 PM EDT","Apr 26, 2026 6:08 PM EDT",8,5.65,2,3010.5275408869643,3859.960809857433,39.589476286525276
H4-012,"Apr 26, 2026 6:09 PM EDT","Apr 26, 2026 6:51 PM EDT",42,"Apr 26, 2026 6:00 PM EDT","Apr 26, 2026 6:09 PM EDT","Apr 26, 2026 6:51 PM EDT",42,10.75,6,2824.1700549655047,3473.9270838118605,37.53685525537184
H4-013,"Apr 26, 2026 7:15 PM EDT","Apr 26, 2026 9:21 PM EDT",126,"Apr 26, 2026 7:00 PM EDT","Apr 26, 2026 7:15 PM EDT","Apr 26, 2026 8:00 PM EDT",45,10.65,5,2842.176872446404,3052.8748751295534,37.07977793282742
H4-013,"Apr 26, 2026 7:15 PM EDT","Apr 26, 2026 9:21 PM EDT",126,"Apr 26, 2026 8:00 PM EDT","Apr 26, 2026 8:00 PM EDT","Apr 26, 2026 9:00 PM EDT",60,10.75,6,2861.1962881720524,3435.220820055272,37.161026733127194
H4-013,"Apr 26, 2026 7:15 PM EDT","Apr 26, 2026 9:21 PM EDT",126,"Apr 26, 2026 9:00 PM EDT","Apr 26, 2026 9:00 PM EDT","Apr 26, 2026 9:21 PM EDT",21,11.05,4,2794.8537996922796,3131.5145095001503,37.356157815447105
H4-014,"Apr 27, 2026 12:22 PM EDT","Apr 27, 2026 12:53 PM EDT",31,"Apr 27, 2026 12:00 PM EDT","Apr 27, 2026 12:22 PM EDT","Apr 27, 2026 12:53 PM EDT",31,5.65,4,2941.4577054042934,3200.3448302694896,38.29224474548546
H4-015,"Apr 27, 2026 1:11 PM EDT","Apr 27, 2026 1:37 PM EDT",26,"Apr 27, 2026 1:00 PM EDT","Apr 27, 2026 1:11 PM EDT","Apr 27, 2026 1:37 PM EDT",26,10.75,4,2943.8237351714392,3111.7900413853226,37.0908512145206
H4-016,"Apr 27, 2026 1:41 PM EDT","Apr 27, 2026 2:28 PM EDT",47,"Apr 27, 2026 1:00 PM EDT","Apr 27, 2026 1:41 PM EDT","Apr 27, 2026 2:00 PM EDT",19,8.35,4,2951.1862127879976,3416.900816092454,38.06476788610129
H4-016,"Apr 27, 2026 1:41 PM EDT","Apr 27, 2026 2:28 PM EDT",47,"Apr 27, 2026 2:00 PM EDT","Apr 27, 2026 2:00 PM EDT","Apr 27, 2026 2:28 PM EDT",28,11.65,5,3046.4656852112344,3342.3843363408478,35.8655454184491
H4-017,"Apr 27, 2026 2:29 PM EDT","Apr 27, 2026 5:05 PM EDT",156,"Apr 27, 2026 2:00 PM EDT","Apr 27, 2026 2:29 PM EDT","Apr 27, 2026 3:00 PM EDT",31,10.95,6,2932.125791112397,3307.6166260602176,36.61974859281636
H4-017,"Apr 27, 2026 2:29 PM EDT","Apr 27, 2026 5:05 PM EDT",156,"Apr 27, 2026 3:00 PM EDT","Apr 27, 2026 3:00 PM EDT","Apr 27, 2026 4:00 PM EDT",60,5.75,7,3026.7461206305074,3589.645539396145,35.52111114832144
H4-017,"Apr 27, 2026 2:29 PM EDT","Apr 27, 2026 5:05 PM EDT",156,"Apr 27, 2026 4:00 PM EDT","Apr 27, 2026 4:00 PM EDT","Apr 27, 2026 5:00 PM EDT",60,10.95,8,2930.9062908686697,3475.2255590822087,35.94586282061795
H4-017,"Apr 27, 2026 2:29 PM EDT","Apr 27, 2026 5:05 PM EDT",156,"Apr 27, 2026 5:00 PM EDT","Apr 27, 2026 5:00 PM EDT","Apr 27, 2026 5:05 PM EDT",5,5.35,1,2840.422762196359,3062.3104827507773,35.92727076697627
H4-018,"Apr 27, 2026 5:06 PM EDT","Apr 27, 2026 5:54 PM EDT",48,"Apr 27, 2026 5:00 PM EDT","Apr 27, 2026 5:06 PM EDT","Apr 27, 2026 5:54 PM EDT",48,10.95,7,2981.9022259624576,3957.1714246862084,35.503420058657014
H4-019,"Apr 27, 2026 6:05 PM EDT","Apr 27, 2026 6:56 PM EDT",51,"Apr 27, 2026 6:00 PM EDT","Apr 27, 2026 6:05 PM EDT","Apr 27, 2026 6:56 PM EDT",51,10.85,7,2884.4409943402566,3457.3474859762664,35.69294467143699
H4-020,"Apr 27, 2026 7:49 PM EDT","Apr 27, 2026 8:29 PM EDT",40,"Apr 27, 2026 7:00 PM EDT","Apr 27, 2026 7:49 PM EDT","Apr 27, 2026 8:00 PM EDT",11,0.65,3,3499.456932577808,3917.2499576612795,33.14496224177957
H4-020,"Apr 27, 2026 7:49 PM EDT","Apr 27, 2026 8:29 PM EDT",40,"Apr 27, 2026 8:00 PM EDT","Apr 27, 2026 8:00 PM EDT","Apr 27, 2026 8:29 PM EDT",29,0.55,8,3803.958012588823,4718.796294145126,32.53446877553678
H4-021,"Apr 27, 2026 8:30 PM EDT","Apr 27, 2026 9:01 PM EDT",31,"Apr 27, 2026 8:00 PM EDT","Apr 27, 2026 8:30 PM EDT","Apr 27, 2026 9:00 PM EDT",30,10.75,4,2976.1931189428133,3206.3137749731663,35.30193696202269
H4-021,"Apr 27, 2026 8:30 PM EDT","Apr 27, 2026 9:01 PM EDT",31,"Apr 27, 2026 9:00 PM EDT","Apr 27, 2026 9:00 PM EDT","Apr 27, 2026 9:01 PM EDT",1,10.85,1,3066.694353925725,3066.694353925725,31.24828204309797
H4-022,"Apr 28, 2026 11:05 AM EDT","Apr 28, 2026 12:03 PM EDT",58,"Apr 28, 2026 11:00 AM EDT","Apr 28, 2026 11:05 AM EDT","Apr 28, 2026 12:00 PM EDT",55,0.55,14,4308.47470246765,6702.442585938428,33.901127848651655
H4-022,"Apr 28, 2026 11:05 AM EDT","Apr 28, 2026 12:03 PM EDT",58,"Apr 28, 2026 12:00 PM EDT","Apr 28, 2026 12:00 PM EDT","Apr 28, 2026 12:03 PM EDT",3,0.55,2,3750.0070487759076,3957.609413858102,33.04403278095368
H4-023,"Apr 28, 2026 12:22 PM EDT","Apr 28, 2026 12:51 PM EDT",29,"Apr 28, 2026 12:00 PM EDT","Apr 28, 2026 12:22 PM EDT","Apr 28, 2026 12:51 PM EDT",29,0.55,9,4073.5439986132797,5869.515067957892,32.83194008913905
H4-024,"Apr 28, 2026 12:52 PM EDT","Apr 28, 2026 1:21 PM EDT",29,"Apr 28, 2026 12:00 PM EDT","Apr 28, 2026 12:52 PM EDT","Apr 28, 2026 1:00 PM EDT",8,0.55,2,4067.65793707266,5012.604658052778,35.12153952860482
H4-024,"Apr 28, 2026 12:52 PM EDT","Apr 28, 2026 1:21 PM EDT",29,"Apr 28, 2026 1:00 PM EDT","Apr 28, 2026 1:00 PM EDT","Apr 28, 2026 1:21 PM EDT",21,0.55,5,3514.0825756163927,5101.045997500207,35.474968470751264
